date,open,high,low,close,volume,openinterest
2024-01-02,0.757,0.765,0.756,0.763,189033.0,0.0
2024-01-03,0.757,0.759,0.756,0.758,105199.0,0.0
2024-01-04,0.743,0.746,0.742,0.744,366733.0,0.0
2024-01-05,0.748,0.75,0.745,0.746,164719.0,0.0
2024-01-08,0.748,0.751,0.746,0.751,134796.0,0.0
2024-01-09,0.749,0.75,0.747,0.749,92878.0,0.0
2024-01-10,0.746,0.749,0.744,0.745,124097.0,0.0
2024-01-11,0.747,0.748,0.745,0.748,85125.0,0.0
2024-01-12,0.746,0.748,0.745,0.747,123719.0,0.0
2024-01-15,0.754,0.758,0.754,0.756,196394.0,0.0
2024-01-16,0.754,0.755,0.751,0.754,168373.0,0.0
2024-01-17,0.75,0.752,0.746,0.746,175291.0,0.0
2024-01-18,0.742,0.749,0.741,0.747,200840.0,0.0
2024-01-19,0.748,0.748,0.745,0.747,126099.0,0.0
2024-01-22,0.744,0.746,0.731,0.733,290780.0,0.0
2024-01-23,0.731,0.737,0.73,0.734,218566.0,0.0
2024-01-24,0.736,0.738,0.734,0.737,112014.0,0.0
2024-01-25,0.739,0.741,0.739,0.74,327044.0,0.0
2024-01-26,0.743,0.745,0.743,0.744,183830.0,0.0
2024-01-29,0.746,0.747,0.745,0.747,169212.0,0.0
2024-01-30,0.75,0.753,0.749,0.752,306654.0,0.0
2024-01-31,0.751,0.752,0.748,0.748,164369.0,0.0
2024-02-01,0.745,0.748,0.745,0.746,159454.0,0.0
2024-02-02,0.749,0.749,0.747,0.748,189508.0,0.0
2024-02-05,0.74,0.74,0.736,0.737,220432.0,0.0
2024-02-06,0.735,0.738,0.733,0.735,203282.0,0.0
2024-02-07,0.734,0.734,0.727,0.729,275852.0,0.0
2024-02-08,0.729,0.736,0.728,0.735,218922.0,0.0
2024-02-19,0.749,0.751,0.749,0.75,418576.0,0.0
2024-02-20,0.747,0.749,0.746,0.747,136804.0,0.0
2024-02-21,0.747,0.75,0.747,0.75,229414.0,0.0
2024-02-22,0.746,0.749,0.745,0.749,105258.0,0.0
2024-02-23,0.745,0.746,0.742,0.744,203542.0,0.0
2024-02-26,0.746,0.748,0.744,0.746,85861.0,0.0
2024-02-27,0.74,0.743,0.74,0.742,71202.0,0.0
2024-02-28,0.741,0.743,0.739,0.741,103532.0,0.0
2024-02-29,0.741,0.742,0.739,0.742,82173.0,0.0
2024-03-01,0.744,0.748,0.744,0.747,169269.0,0.0
2024-03-04,0.755,0.756,0.753,0.755,215013.0,0.0
2024-03-05,0.766,0.77,0.765,0.768,575910.0,0.0
2024-03-06,0.768,0.77,0.765,0.769,300390.0,0.0
2024-03-07,0.772,0.776,0.77,0.772,474889.0,0.0
2024-03-08,0.774,0.776,0.771,0.776,185961.0,0.0
2024-03-11,0.775,0.776,0.772,0.774,257361.0,0.0
2024-03-12,0.775,0.776,0.774,0.774,191171.0,0.0
2024-03-13,0.771,0.773,0.769,0.772,210380.0,0.0
2024-03-14,0.795,0.796,0.787,0.79,422946.0,0.0
2024-03-15,0.79,0.8,0.789,0.797,491598.0,0.0
2024-03-18,0.794,0.797,0.791,0.796,286564.0,0.0
2024-03-19,0.798,0.799,0.792,0.794,345218.0,0.0
2024-03-20,0.795,0.799,0.795,0.798,200734.0,0.0
